OSM_ID,Street_Name,Latitude,Longitude,Category
120073495,Alexander Carr Avenue,-29.0143111,29.8656596,English
39576924,Alexander Drive,-29.8156395,30.7816429,English
58516336,Alexander Place,-29.7884772,30.8466143,English
42897093,Alexander Road,-29.8178636,30.8355093,English
46448692,Alexander Street,-29.4852359,30.2257745,English
44461074,Alexandra Avenue,-29.9802839,30.9244214,English
42644795,Alexandra Road,-29.6132122,30.3883363,English
48572953,Alexandra Street,-29.8605028,31.0149025,English
45884466,Alfawood Place,-29.6855143,31.0271394,English
33083642,Alford Road,-30.8726812,30.3431456,English
48667108,Alfred Avenue,-29.8572246,31.0076314,English
44121342,Alfred Road,-29.7906203,30.874603,English
19782972,Alfred Storm Road,-29.726556,30.5337769,English
48395141,Alfred Street,-29.6406354,31.0929246,English
45082566,Alfredia Place,-29.9443513,30.976056,English
48093975,Alice Goswell Road,-29.7335219,30.5831247,English
171649724,Alice Street,-28.169329,30.1559798,English
58515976,Alice Way,-29.744953,30.8404979,English
42897684,Alida Place,-29.8277297,30.8995064,English
45082567,Alipore Road,-29.9461997,30.9636391,English
45242207,Alison Road,-29.9177519,31.0088893,English
44215482,Alison Street,-29.9440894,30.8671784,English
41571134,Alistair Road,-29.8094352,30.9047606,English
860940322,Alister Fraser Boulevard,-30.8999657,30.343791,English
98191699,Alita Place,-29.5655456,30.4163656,English
48782156,Alkenaar Road,-29.8805423,30.9722917,English
107915366,Alkins Drive,-30.3160432,30.7366149,English
967017444,Alkins Place,-30.3133327,30.737087,English
58516349,Allagappa Road,-29.8081732,30.8287843,English
45669016,Allamanda Road,-29.6469982,31.0339357,English
58516290,Allan Gardiner Place,-29.7782524,30.8253997,English
87314789,Allan Hirst Drive,-29.5797361,30.3675249,English
98476204,Allandale Drive,-29.5694102,30.4091847,English
44446268,Allandale Road,-29.9302092,30.9587117,English
8795101,Allen Place,-29.5444243,31.2087424,English
118709538,Allen Road,-29.6315983,30.386581,English
55874053,Allen Street,-27.7481422,29.9324238,English
42644299,Allenby Lane,-29.8821323,30.9270992,English
48391653,Allenby Road,-29.7810324,31.0187041,English
45882652,Allerford Road,-29.6919233,31.0091166,English
