Street,Ground Truth,DTW Distance,Normalized DTW,Similarity,System Pitch,Ground Truth Pitch,System Duration,Ground Truth Duration,System Energy,Ground Truth Energy
Ezalukazini_Avenue,gt2.wav,20450.54274675144,213.0264869453275,0.004672318899741822,198.61701659840764,165.10646367411147,1.2586875,3.06,0.20564046502113342,0.06124548986554146
Ezalukazini_Avenue,gt3.wav,19146.186778560823,150.75737620914035,0.006589465533601984,198.61701659840764,155.11078862363044,1.2586875,4.06,0.20564046502113342,0.096128448843956
Ezalukazini_Avenue,gt4.wav,21833.552003136043,239.92914289160487,0.004150597922684283,198.61701659840764,230.08444668447103,1.2586875,2.88,0.20564046502113342,0.03505953773856163
Ezalukazini_Avenue,gt5.wav,16698.109534240946,219.71196755580192,0.004530791923402038,198.61701659840764,111.31108191097348,1.2586875,2.4,0.20564046502113342,0.04881274700164795
Imvubu_Lane,gt1.wav,18270.87635528278,196.46103607830946,0.005064290251183622,185.8420206548467,167.5493569785813,0.992,2.93,0.24302875995635986,0.07059900462627411
Imvubu_Lane,gt2.wav,25067.37949177434,275.46570870081695,0.003617085115905534,185.8420206548467,137.53240707515542,0.992,2.88,0.24302875995635986,0.019852539524435997
Imvubu_Lane,gt3.wav,10673.689735062557,156.96602551562583,0.006330475155881421,185.8420206548467,208.15555015757474,0.992,1.98,0.24302875995635986,0.14776526391506195
Imvubu_Lane,gt4.wav,20523.6868558853,259.7935045048772,0.0038344513292174367,185.8420206548467,97.82697886814438,0.992,2.52,0.24302875995635986,0.040810827165842056
Imvubu_Lane,gt5.wav,20733.016308497132,232.9552394213161,0.004274321885132735,185.8420206548467,106.09835113740985,0.992,2.82,0.24302875995635986,0.020259737968444824
Imvubu_Lane,gt6.wav,16732.068533204147,201.5911871470379,0.004936048868079408,185.8420206548467,191.2158731760752,0.992,2.6525,0.24302875995635986,0.06773726642131805
Isandlwana_Street,gt1.wav,17922.625480232888,177.4517374280484,0.005603756031813359,164.3729738104062,146.37520894787616,1.184,3.23,0.16123156249523163,0.047738440334796906
Isandlwana_Street,gt2.wav,11321.979758540467,148.97341787553245,0.0066678483038236196,164.3729738104062,120.82709845707339,1.184,2.34,0.16123156249523163,0.06406407058238983
Isandlwana_Street,gt3.wav,19826.90833815335,185.2982087677883,0.005367738136690576,164.3729738104062,221.68026989020078,1.184,3.36,0.16123156249523163,0.04265609756112099
Isandlwana_Street,gt4.wav,16653.42713566488,208.16783919581098,0.004780849693933383,164.3729738104062,223.6680559670456,1.184,2.28,0.16123156249523163,0.0323609858751297
Khuzimpi_Shezi_Road,gt1.wav,25767.704422497485,204.50559065474195,0.004866047667189951,193.39716162303222,168.87012455983364,1.429375,4.0175,0.20841659605503082,0.05104345455765724
Khuzimpi_Shezi_Road,gt2.wav,25830.555986698444,253.2407449676318,0.003933279853027937,193.39716162303222,219.44477774017858,1.429375,3.24,0.20841659605503082,0.06493759900331497
Khuzimpi_Shezi_Road,gt3.wav,26560.0439059235,212.480351247388,0.0046842718505796695,193.39716162303222,188.52290224460324,1.429375,3.9975,0.20841659605503082,0.04833798483014107
Khuzimpi_Shezi_Road,gt4.wav,29857.13189654932,226.19039315567667,0.004401594566169769,193.39716162303222,142.1192558528001,1.429375,4.2,0.20841659605503082,0.05014374107122421
Khuzimpi_Shezi_Road,gt5.wav,16849.605628629728,170.19803665282552,0.005841188482949203,193.39716162303222,105.3028816382197,1.429375,3.0,0.20841659605503082,0.05582510307431221
Mabele_Road,gt1.wav,14181.053551755882,184.1695266461803,0.005400456641609221,168.90301055811855,175.78887788057781,0.768,2.46,0.16754025220870972,0.07225047796964645
Mabele_Road,gt2.wav,8917.934534621363,156.45499183546252,0.0063510212559344005,168.90301055811855,193.23181533674762,0.768,1.8,0.16754025220870972,0.15934838354587555
Mabele_Road,gt3.wav,13924.956338445367,244.29747962184854,0.004076682734537687,168.90301055811855,112.45583253788519,0.768,1.8,0.16754025220870972,0.030912179499864578
Mabele_Road,gt4.wav,17330.169651994765,180.52260054161215,0.005508955893185105,168.90301055811855,171.84433928984262,0.768,3.0575,0.16754025220870972,0.05637542903423309
Mabele_Road,gt5.wav,14678.7564953718,229.35557024018436,0.004341114907520283,168.90301055811855,103.96677053453678,0.768,2.04,0.16754025220870972,0.04051727056503296
Mabele_Road,gt6.wav,15671.526083859513,186.56578671261326,0.00533146272316812,168.90301055811855,275.2985635354808,0.768,2.52,0.16754025220870972,0.05341053009033203
Mabele_Road,gt7.wav,14807.518412728847,192.30543393154346,0.005173160317645993,168.90301055811855,124.97209162559588,0.768,2.46,0.16754025220870972,0.02788069285452366
Mandlendlovu_Road,gt1.wav,19927.184229533847,223.9009463992567,0.004446401920535916,188.59543600363406,227.73389591474984,1.088,2.82,0.2067582607269287,0.07108526676893234
Mandlendlovu_Road,gt2.wav,21380.501080095775,277.668845196049,0.0035884886927222896,188.59543600363406,115.70177830975986,1.088,2.46,0.2067582607269287,0.03018554113805294
Mandlendlovu_Road,gt3.wav,16808.644134068287,284.89227345878453,0.0034978210075487202,188.59543600363406,123.523853951454,1.088,1.86,0.2067582607269287,0.03358159959316254
Mandlendlovu_Road,gt4.wav,17701.603799707424,201.1545886330389,0.0049467093809839255,188.59543600363406,155.68785803639364,1.088,2.8025,0.2067582607269287,0.0644935891032219
Mandlendlovu_Road,gt5.wav,18894.364990376267,192.7996427589415,0.005159968231953111,188.59543600363406,144.5728005487102,1.088,3.1225,0.2067582607269287,0.06465987861156464
Mandlendlovu_Road,gt6.wav,18894.364990376267,192.7996427589415,0.005159968231953111,188.59543600363406,144.5728005487102,1.088,3.1225,0.2067582607269287,0.06465987861156464
Mandlendlovu_Road,gt7.wav,26424.31408660553,249.28598194910876,0.003995429517116673,188.59543600363406,204.3363497670551,1.088,3.36,0.2067582607269287,0.04932466521859169
