Street,Ground Truth,DTW Distance,Normalized DTW,Similarity,System Pitch,Ground Truth Pitch,System Duration,Ground Truth Duration,System Energy,Ground Truth Energy,PAS
Mgaga_Road,gt7.wav,17854.40127416398,184.06599251715448,0.0054034778967146,194.40535637010453,192.1975989636049,0.672,3.1,0.1533850282430648,0.0507923290133476,0.54034778967146
Mnyezane_Road,gt1.wav,36308.20954037536,250.401445106037,0.0039777018766865,185.19287237724305,194.6765325727693,0.832,4.6375,0.2155552208423614,0.0273941606283187,0.39777018766864997
Mnyezane_Road,gt2.wav,18288.862334832906,215.16308629215175,0.0046261367616137,185.19287237724305,234.08873826167684,0.832,2.7,0.2155552208423614,0.0801083073019981,0.46261367616137006
Mnyezane_Road,gt3.wav,16399.804050565574,268.8492467305832,0.0037057728050595,185.19287237724305,120.52252292081408,0.832,1.92,0.2155552208423614,0.0309767629951238,0.37057728050595
Mnyezane_Road,gt4.wav,19884.515863142627,218.51116333123767,0.004555576968498,185.19287237724305,167.4997833618099,0.832,2.91,0.2155552208423614,0.0561936236917972,0.4555576968498
Mnyezane_Road,gt5.wav,20270.7530378545,266.7204347086119,0.003735239714101,185.19287237724305,217.74018376470087,0.832,2.4,0.2155552208423614,0.0366858430206775,0.3735239714101
Mpevu_Road,gt1.wav,16850.225119803094,247.79742823239843,0.0040193341510986,180.33125652944895,132.29642019021418,0.928,2.1,0.2063650637865066,0.0278741344809532,0.40193341510986
Mpevu_Road,gt2.wav,14670.041441882868,164.83192631329064,0.0060302019172761,180.33125652944895,132.28987783318382,0.928,2.82,0.2063650637865066,0.0730350390076637,0.60302019172761
Mpevu_Road,gt3.wav,24947.85652098897,224.7554641530538,0.0044295716329684,180.33125652944895,135.7999063825101,0.928,3.54,0.2063650637865066,0.0179179329425096,0.44295716329684
Mpevu_Road,gt4.wav,15902.410143360748,189.31440646858036,0.0052544629623984,180.33125652944895,266.249240661253,0.928,2.4,0.2063650637865066,0.0541265904903411,0.5254462962398401
Mpevu_Road,gt5.wav,11338.527431052256,171.7958701674584,0.0057871753475988,180.33125652944895,237.7407024874294,0.928,2.1,0.2063650637865066,0.1367377638816833,0.57871753475988
Mpevu_Road,gt6.wav,18054.052009953622,190.04265273635392,0.0052344331785427,180.33125652944895,154.1022946559565,0.928,3.015,0.2063650637865066,0.0487907901406288,0.52344331785427
Mpevu_Road,gt7.wav,22036.470363023327,207.8912298398427,0.0047871803941539,180.33125652944895,122.66437980906348,0.928,3.3,0.2063650637865066,0.0272180810570716,0.47871803941539
Mpevu_Road,gt8.wav,20199.53468340238,185.31683195782,0.0053672016075626,180.33125652944895,169.778134660671,0.928,3.485,0.2063650637865066,0.0729486867785453,0.5367201607562601
Msobho_Road,gt1.wav,17330.095998219975,279.51767739064474,0.0035648377289514,184.98810930208344,121.60444539273568,0.896,1.98,0.1461175978183746,0.0313098840415477,0.35648377289514
Msobho_Road,gt2.wav,17865.12823014134,270.6837610627476,0.0036807499870006,184.98810930208344,109.17017357733718,0.896,2.1,0.1461175978183746,0.0297004804015159,0.36807499870006
Msobho_Road,gt3.wav,16787.12116620245,262.2987682219133,0.0037979668752463,184.98810930208344,113.80010606722944,0.896,2.04,0.1461175978183746,0.0302590653300285,0.37979668752463003
Msobho_Road,gt4.wav,42279.40177121857,291.5820811808177,0.0034178443053113,184.98810930208344,138.7786591694177,0.896,4.62,0.1461175978183746,0.0138605628162622,0.34178443053113
Msobho_Road,gt5.wav,35677.8614201839,283.15763031891987,0.0035191734914092,184.98810930208344,133.85975126328682,0.896,4.02,0.1461175978183746,0.0160135813057422,0.35191734914092
Msobho_Road,gt6.wav,20631.435492768276,231.81388194121652,0.0042952765172847,184.98810930208344,223.56378595929468,0.896,2.82,0.1461175978183746,0.057046428322792,0.42952765172847
Msobho_Road,gt7.wav,65356.13576406281,279.2997254874479,0.0035676096302305,184.98810930208344,163.88156740054006,0.896,7.485,0.1461175978183746,0.0030399023089557,0.35676096302305
Ngilosi_Road,gt1.wav,19518.063885897034,278.82948408424335,0.0035736048446522,185.38417568726592,110.64402610257652,0.8746875,2.22,0.2406432181596756,0.0364576764404773,0.35736048446522
Ngilosi_Road,gt2.wav,17143.095236075475,238.0985449454927,0.0041823759330194,185.38417568726592,99.77512861190576,0.8746875,2.28,0.2406432181596756,0.0470072701573371,0.41823759330194
Ngilosi_Road,gt3.wav,22600.977993241155,228.29270700243592,0.0043612377082249,185.38417568726592,184.41749450475015,0.8746875,3.1425,0.2406432181596756,0.0501931756734848,0.43612377082249004
Ngqwele_Road,gt1.wav,15546.869155956092,191.9366562463715,0.0051830482576781,183.2062056328467,159.03913644469006,0.768,2.5675,0.1683173179626464,0.0492088049650192,0.51830482576781
Ngqwele_Road,gt2.wav,24987.17138441706,213.56556738818,0.0046605800370143,183.2062056328467,158.01772059979507,0.768,3.6775,0.1683173179626464,0.0429094657301902,0.46605800370142997
