OSM_ID,Street_Name,Latitude,Longitude
43671897,106271 Street,-29.9281784,30.9101643
43671647,106272 Street,-29.926768,30.9105654
43672345,106273 Street,-29.8993089,30.8734317
44070180,10628 Street,-30.0620333,30.816154
44426968,106290 Street,-29.9468403,30.9467284
44426969,106291 Street,-29.9465981,30.9462789
44426987,106329 Ext Street,-29.9461996,30.9391155
44426985,106329 Street,-29.9464467,30.9391001
45880309,106332 Street,-29.7299433,30.9876432
45880306,106333 Street,-29.7299008,30.9879756
45880310,106334 Street,-29.7300178,30.9881496
45880311,106335 Street,-29.7303033,30.9884195
44070165,10634 Street,-30.0669485,30.8213778
43910517,106341 Street,-29.7592287,30.9586404
43910520,106342 Street,-29.7609134,30.952272
43910511,106345 Street,-29.7561695,30.958454
43910499,106346 Street,-29.7550382,30.9591841
43910640,106348 Street,-29.7570559,30.9717596
43910682,106349 Street,-29.7560572,30.9710655
43910497,106350 Street,-29.7537317,30.9810681
43910487,106352 Street,-29.7599092,30.9801758
805898114,106353 Street,-29.7457893,30.9751902
43910882,106354 Street,-29.7481431,30.96749
43910870,106358 Street,-29.7451581,30.9672245
43910889,106359 Street,-29.749424,30.9675916
43910789,106360 Street,-29.7472886,30.9814703
43910965,106362 Street,-29.7443655,30.9790117
43910776,106364 Street,-29.7429324,30.9818516
43910962,106369 Street,-29.7411502,30.9735324
44069982,10637 Street,-30.0639357,30.8247825
43910963,106370 Street,-29.7406065,30.9732146
44069733,10639 Street,-30.0552116,30.8155082
43911010,106394 Street,-29.739571,30.978512
43910800,106395 Street,-29.739965,30.9780006
43911238,106397 Street,-29.7408114,30.9924655
43911320,106398 Street,-29.7371375,30.9862211
43911342,106399 Street,-29.7360589,30.987735
44069736,10640 Street,-30.0548738,30.8159871
43911358,106402 Street,-29.7366275,30.9948839
43911360,106403 Street,-29.7357414,30.9947677
43911359,106404 Street,-29.7350415,30.9964711
47711181,106406 Street,-29.7158085,30.9561434
44069732,10641 Street,-30.0545516,30.8164521
43911104,106416 Street,-29.7271359,30.9774984
43911101,106417 Street,-29.7274603,30.9778304
43911102,106418 Street,-29.7271583,30.97807
43910586,106419 Street,-29.7554773,30.9684438
43910887,106420 Street,-29.7478562,30.9636457
43910670,106423 Street,-29.7590836,30.9792754
43910777,106424 Street,-29.728944,30.9799044
438051845,106429 Street,-29.7605359,30.9510198
858893477,10643 Street,-30.0552724,30.8177076
43911273,106430 Street,-29.7407677,30.9831859
803224027,106439 Street,-29.7495075,30.9274409
856667043,106440 Street,-29.7501595,30.927756
803224026,106441 Street,-29.7505451,30.9284066
856667044,106442 Street,-29.7505294,30.9284938
438019316,106443 Street,-29.7504941,30.9295284
438259536,106445 Street,-29.7516738,30.931953
44069723,10645 Street,-30.0537661,30.8211046
438020006,106453 Street,-29.7630654,30.939237
438019320,106454 Street,-29.7613271,30.9379956
706488660,106456 Street,-29.7591809,30.9412445
438058945,106457 Street,-29.7587166,30.945257
806012316,106458 Street,-29.7557459,30.9368443
806012315,106459 Street,-29.7555588,30.9359998
803227757,106460 Street,-29.752994,30.9349068
706488668,106461 Street,-29.7570405,30.9395975
706488670,106462 Street,-29.7557077,30.9403259
706488671,106463 Street,-29.7548307,30.9407257
438303321,106464 Street,-29.7571445,30.9474441
706498728,106465 Street,-29.7548898,30.9476508
706498731,106466 Street,-29.7570214,30.9488747
856737248,106467 Street,-29.7544726,30.9461064
706498726,106468 Street,-29.7546886,30.9489051
44070163,10649 Street,-30.0583783,30.8276099
804075026,106495 Street,-29.7166641,30.9551945
47710988,106517 Street,-29.7179449,30.9570905
47711195,106519 Street,-29.7174055,30.9543869
47711198,106520 Street,-29.717329,30.954634
44070168,10654 Street,-30.0715362,30.8308513
47711182,106544 Street,-29.7158193,30.9557333
47711200,106545 Street,-29.7155003,30.9552916
856311403,106574 Street,-29.7179631,30.9501587
706477406,106584 Street,-29.7465161,30.9412393
438020019,106586 Street,-29.7419757,30.9353422
438051829,106587 Street,-29.7471871,30.9385864
438051828,106588 Street,-29.7467473,30.9376714
438020018,106589 Street,-29.7433194,30.9369053
438051823,106590 Street,-29.7432575,30.9364985
438051824,106591 Street,-29.7430989,30.9367256
438020017,106592 Street,-29.7424899,30.936966
438020016,106593 Street,-29.7414439,30.9391267
706477409,106594 Street,-29.7439643,30.9427407
189745015,106604 Street,-29.7404877,30.9370326
706477436,106609 Street,-29.7287158,30.9383784
44070162,10664 Street,-30.0778174,30.8330511
44070031,10666 Street,-30.0783002,30.8402435
44069994,10668 Street,-30.0645297,30.8199609
43025914,106821 Street,-29.8506414,30.9412255
43025972,106825 Street,-29.8477469,30.9406577
43025971,106826 Street,-29.8482687,30.9414279
43025976,106827 Street,-29.8489879,30.9419951
43025975,106828 Road,-29.8475964,30.9410752
43025981,106829 Street,-29.8461935,30.9410572
43025982,106831 Street,-29.8486843,30.9448165
43025994,106833 Street,-29.8466733,30.9444947
43025992,106835 Street,-29.846227,30.9464928
43025985,106837 Street,-29.8490142,30.9467372
43026000,106839 Street,-29.8472259,30.9491229
44427153,106881 Street,-29.9471433,30.9306885
45880928,106902 Street,-29.7159804,31.0233122
43025996,107151 Street,-29.8470404,30.9478228
806409970,107154 Street,-29.9799375,30.8649587
44215580,107155 Street,-29.9784704,30.8586629
44215581,107156 Street,-29.9756093,30.861543
44215712,107158 Street,-29.9858989,30.873554
44215715,107164 Street,-29.9847412,30.8878288
44215708,107166 Street,-29.9903619,30.8895727
44214060,107170 Street,-29.9888472,30.8923826
44215709,107172 Street,-29.9850598,30.8939595
44215707,107176 Ext Road,-29.9932612,30.8858129
44215701,107178 Street,-29.9771981,30.8832728
44215670,107181 Street,-29.9789741,30.88919
44216419,107183 Street,-29.9820716,30.8943013
1218223450,107184 Street,-29.9755247,30.8978764
44215665,107186 Street,-29.9762257,30.8812868
44215694,107195 Street,-29.9708803,30.8775695
44215699,107200 Street,-29.9721805,30.8723525
44215698,107202 Street,-29.9736667,30.8674058
803553660,107203 Street,-29.9670809,30.8692304
44216042,107222 Street,-29.9724532,30.88713
44215988,107226 Street,-29.973339,30.8983589
44215918,107248 Street,-29.9898009,30.8952829
44215822,107249 Street,-29.9900502,30.8958639
44215994,107253 Road,-29.9666182,30.8516295
44216003,107254 Road,-29.9657445,30.8557847
44216006,107256 Street,-29.9678251,30.8645325
44216017,107261 Street,-29.9580393,30.8595119
44216018,107262 Road,-29.9650748,30.8650042
44216139,107264 Street,-29.9632643,30.8540277
44216117,107265 Street,-29.9498759,30.8622463
44215992,107266 Street,-29.9488534,30.8619876
44215993,107267 Street,-29.9550658,30.8624167
44216045,107268 Street,-29.9494697,30.8587443
44216015,107269 Street,-29.9426743,30.8598333
1220014068,107270 Street,-29.943069,30.8590334
44216021,107271 Street,-29.9414953,30.8655044
44216123,107272 Street,-29.9420375,30.8646715
44216113,107273 Street,-29.9421675,30.8656201
44216120,107274 Street,-29.9550274,30.8695209
44216119,107277 Street,-29.9530163,30.8769399
44216115,107278 Street,-29.952255,30.8781541
44216087,107279 Street,-29.9513248,30.8787991
44216084,107280 Street,-29.9498651,30.8811809
44215965,107282 Street,-29.9487244,30.8793686
44216122,107283 Street,-29.9445428,30.8719907
44216092,107284 Street,-29.9446053,30.8728602
44216093,107285 Street,-29.9438509,30.8728923
44216090,107286 Street,-29.9460669,30.8775567
44216091,107289 Street,-29.9438363,30.8787948
44216088,107290 Street,-29.9429273,30.8837036
44216118,107294 Road,-29.9601919,30.8669203
44216086,107300 Ext Street,-29.9600624,30.8642987
44216223,107300 Street,-29.9595195,30.8642785
44216075,107301 Road,-29.9595294,30.8589299
44216069,107303 Street,-29.9474058,30.8858149
44216074,107311 Street,-29.9699629,30.9046294
44070100,107312 Street,-30.0599394,30.8259193
44216077,107313 Street,-29.96676,30.9084034
44216076,107314 Street,-29.9734828,30.9003146
44216079,107316 Street,-29.9741969,30.8995145
44216085,107338 Street,-29.958742,30.9057075
44216083,107341 Street,-29.9586286,30.9287274
44216073,107343 Street,-29.9434917,30.889012
44215979,107454 Street,-29.9473818,30.9205482
44215980,107463 Street,-29.970498,30.858043
44215985,107465 Street,-29.953226,30.8576257
44215823,107467 Street,-29.9901513,30.8876031
44215986,107468 Street,-29.9550696,30.8595577
44215917,107473 Street,-29.9611174,30.9169562
44215984,107474 Street,-29.9601208,30.9230624
44216218,107480 Street,-29.9442091,30.8948543
48057990,107614 Street,-29.6974964,30.9250104
47710591,107615 Street,-29.7145515,30.914241
47710840,107616 Street,-29.7099536,30.9315021
48058228,107617 Street,-29.7174064,30.912604
47710589,107618 Street,-29.7176536,30.9127782
47710556,107619 Street,-29.7179893,30.9127613
47710587,107620 Street,-29.7197283,30.9131955
47710588,107621 Street,-29.7212563,30.9133147
47710553,107622 Street,-29.7131933,30.9192941
47710693,107623 Street,-29.714823,30.9209439
47710726,107624 Street,-29.7083901,30.9211416
47710727,107625 Street,-29.7092681,30.9204704
47710679,107626 Street,-29.7118366,30.922851
47710678,107627 Street,-29.7121522,30.9227726
47710729,107628 Street,-29.711561,30.9247745
47710694,107629 Street,-29.7126306,30.921773
47710696,107630 Street,-29.7130013,30.9207943
47710703,107631 Street,-29.7139476,30.9202833
47710708,107632 Street,-29.7134011,30.9198972
47710707,107633 Street,-29.7145023,30.9196276
47710698,107634 Street,-29.7148885,30.920387
47710699,107635 Street,-29.7144174,30.9225716
47710695,107636 Street,-29.7147082,30.9231973
47710704,107637 Street,-29.7154272,30.9216616
47710562,107638 Street,-29.7181443,30.9212334
47710697,107640 Street,-29.7160814,30.925905
47710561,107641 Street,-29.7179692,30.922485
47710585,107642 Street,-29.7185596,30.9259003
47710713,107643 Street,-29.7164589,30.9240246
47710720,107644 Street,-29.7149576,30.9246499
47710721,107645 Street,-29.7141816,30.9246978
47710725,107646 Street,-29.7137151,30.9251548
47710723,107647 Street,-29.7132514,30.9251956
