OSM_ID,Street_Name,Latitude,Longitude,Category
43910443,Amanzimnyama Road,-29.7511374,30.9805529,Likely_IsiZulu
43910473,Amanzimtoti Road,-29.7524235,30.9777999,Likely_IsiZulu
45445629,Amaqhawe Street,-29.6641183,31.0695131,Likely_IsiZulu
390436065,Amasethole Street,-28.8567561,31.8398434,Likely_IsiZulu
198038342,Amashwidi Street,-28.8651859,31.9197036,Likely_IsiZulu
43910444,Amatikulu Road,-29.7516792,30.980721,Likely_IsiZulu
124907253,Amaviyo Lane,-29.7277099,30.9596551,Likely_IsiZulu
437741046,Amavondwe Close,-29.724624,30.9409343,Likely_IsiZulu
44216004,Amawele Lane,-29.9624072,30.8983955,Likely_IsiZulu
706477403,Amawisa Avenue,-29.7435521,30.9444685,Likely_IsiZulu
438008989,Amawundlu Avenue,-29.7342985,30.9449288,Likely_IsiZulu
210738936,Eboyeni Crescent,-28.7851132,31.8660714,Likely_IsiZulu
43752416,Ebuhleni Lane,-29.7638986,30.9170547,Likely_IsiZulu
44424494,Ebumnandini Lane,-29.9640734,30.8423647,Likely_IsiZulu
44216108,Echwebeni Avenue,-30.0033191,30.8798677,Likely_IsiZulu
43752345,Edamini Avenue,-29.7648464,30.9275878,Likely_IsiZulu
44099365,Edwaleni Road,-29.8912244,30.7980379,Likely_IsiZulu
43910826,Egugwini Street,-29.7398731,30.9550097,Likely_IsiZulu
205370302,Ekamanzi Road,-29.3250198,30.6256577,Likely_IsiZulu
44004207,Ekuhlanganeni Drive,-29.547685,31.1499823,Likely_IsiZulu
98639948,Ekukhanyeni Street,-29.5985122,30.4179313,Likely_IsiZulu
44215336,Ekuphileni Road,-29.9693441,30.8820751,Likely_IsiZulu
437319410,Ekuphumuleni Street,-28.6321208,29.9133844,Likely_IsiZulu
44099230,Ekuthuleni Road,-29.8827314,30.794218,Likely_IsiZulu
117083388,Ekwathabeni Street,-28.7731648,31.8566843,Likely_IsiZulu
858944028,Ekwazini Street,-30.0735709,30.8324855,Likely_IsiZulu
105718678,Elangeni Road,-29.7775067,30.7654682,Likely_IsiZulu
44215534,Emafeyizini Drive,-29.9954272,30.8683878,Likely_IsiZulu
44103468,Emafini Close,-29.8771232,30.8565269,Likely_IsiZulu
863733552,Emandleni Road,-28.7769235,31.852309,Likely_IsiZulu
44651709,Emandleni Street,-29.8454806,30.7686729,Likely_IsiZulu
125865389,Emangweni Highway,-28.7634264,31.8615153,Likely_IsiZulu
87453481,Emapaleni Road,-29.4897707,29.5699489,Likely_IsiZulu
44215491,Emaromeni Lane,-29.996874,30.8834496,Likely_IsiZulu
48393029,Emashini Road,-29.5489655,31.1223824,Likely_IsiZulu
44216509,Emasisweni Avenue,-29.9684984,30.8746834,Likely_IsiZulu
45446364,Emathafeni Close,-29.6578511,31.0736717,Likely_IsiZulu
43751847,Emaweni Street,-29.7783656,30.9151023,Likely_IsiZulu
857155490,Embalenhle Road,-29.8673838,30.9523946,Likely_IsiZulu
48392986,Embelebeleni Road,-29.560027,31.122013,Likely_IsiZulu
47998355,Embuthweni Road,-29.8259264,30.6167023,Likely_IsiZulu
44215363,Emdonini Street,-29.9548225,30.8749851,Likely_IsiZulu
48393037,Emfuleni Road,-29.54603,31.1206131,Likely_IsiZulu
58516263,Emhosheni Lane,-29.771394,30.8700293,Likely_IsiZulu
39739612,Emoyeni Street,-29.8579205,30.9595569,Likely_IsiZulu
48392999,Emphelandaba Road,-29.5568902,31.1227638,Likely_IsiZulu
47998523,Empohlweni Road,-29.8113461,30.6081688,Likely_IsiZulu
44216421,Emthethweni Road,-29.968782,30.8777248,Likely_IsiZulu
442818345,Emthonjaneni Street,-28.2786538,31.4413086,Likely_IsiZulu
198038396,Emthonjeni Street,-28.8675498,31.9124931,Likely_IsiZulu
148650882,Emtunzi Drive,-30.8418513,30.3763791,Likely_IsiZulu
43752123,Emvuleni Close,-29.7771319,30.9126863,Likely_IsiZulu
198035173,Enkanyisweni Road,-28.7720697,31.8656497,Likely_IsiZulu
195415178,Enkongolwana Road,-27.6452836,32.2485454,Likely_IsiZulu
44069975,Enqoleni Close,-30.0630629,30.8200085,Likely_IsiZulu
43025959,Ensimbini Avenue,-29.8519354,30.9490112,Likely_IsiZulu
42897477,Entabeni Road,-29.8372927,30.8766869,Likely_IsiZulu
458773802,Entokozweni Street,-28.6082268,29.9315248,Likely_IsiZulu
44470336,Entombeni Drive,-30.0562994,30.8662744,Likely_IsiZulu
43198992,Esenembe Road,-29.4909261,31.1820515,Likely_IsiZulu
43752072,Eshayamoya Close,-29.7756533,30.911083,Likely_IsiZulu
863480350,Eshowe Road,-29.0254703,31.5852072,Likely_IsiZulu
137154070,Esigodini Road,-29.6466115,30.2788232,Likely_IsiZulu
47998552,Esihonqeni Road,-29.8094515,30.6045115,Likely_IsiZulu
95096119,Esiklebheni Street,-28.2890946,31.4106024,Likely_IsiZulu
44214696,Esiphethwini Road,-29.9720921,30.876358,Likely_IsiZulu
44214712,Esipokini Road,-29.9508649,30.8572292,Likely_IsiZulu
39739622,Esithebeni Street,-29.8556911,30.9592044,Likely_IsiZulu
44070040,Esiweni Close,-30.0593023,30.812064,Likely_IsiZulu
48057993,Eskebheni Road,-29.7161283,30.8681569,Likely_IsiZulu
48582934,Eskotene Avenue,-29.7685348,30.8019217,Likely_IsiZulu
43887047,Ethembeni Street,-29.7594717,30.9960843,Likely_IsiZulu
171649646,Ethuleni Street,-28.1976492,30.1606161,Likely_IsiZulu
43752425,Etsheni Road,-29.7631211,30.9192953,Likely_IsiZulu
44214226,Ezalukazini Avenue,-29.9568718,30.9022575,Likely_IsiZulu
44530378,Ezimangweni Road,-30.0437558,30.8701998,Likely_IsiZulu
44215106,Ezimbalini Lane,-29.9472535,30.8921864,Likely_IsiZulu
44214708,Ezimpukwini Avenue,-29.9676661,30.8545581,Likely_IsiZulu
117083356,Ezingadini Crescent,-28.7742956,31.8561512,Likely_IsiZulu
706488030,Ezintombini Road,-29.7276871,30.9692521,Likely_IsiZulu
